Row Labels,Count of Current Location,,,,
Chennai,29648,,,Rank,Frequency
Coimbatore,3596,,,1,29648
Trichy,2092,,,2,3596
Madurai,1460,,,3,2092
Salem,1361,,,4,1460
Vellore,1010,,,5,1361
Erode,791,,,6,1010
Tirunalveli,731,,,7,791
Hosur,714,,,8,731
Cuddalore,619,,,9,714
Thanjavur,552,,,10,619
Nagercoil,500,,,11,552
Tuticorin,471,,,12,500
villupuram,141,,,13,471
KARUR,108,,,14,141
Namakkal,93,,,15,108
Ooty,87,,,16,93
dindigul,84,,,17,87
pudukkottai,68,,,18,84
DHARMAPURI,63,,,19,68
Nagapattinam,60,,,20,63
theni,59,,,21,60
kanchipuram,57,,,22,59
Ramanathapuram,51,,,23,57
virudhunagar,47,,,24,51
Rajapalayam,44,,,25,47
krishnagiri,43,,,26,44
tirupur,42,,,27,43
karaikudi,41,,,28,42
THIRUVANNAMALAI,41,,,29,41
Neyveli,37,,,30,41
Tiruvannamalai,32,,,31,37
sivakasi,32,,,32,32
Mayiladuthurai,30,,,33,32
THIRUVARUR,26,,,34,30
PERAMBALUR,23,,,35,26
tiruppur,22,,,36,23
Ariyalur,22,,,37,22
kumbakonam,21,,,38,22
Pondicherry,21,,,39,21
sivagangai,18,,,40,21
KANCHEEPURAM,18,,,41,18
Chidambaram,13,,,42,18
Tindivanam,12,,,43,13
Sattur,12,,,44,12
kovilpatti,11,,,45,12
arakkonam,11,,,46,11
palani,11,,,47,11
Tiruvarur,10,,,48,11
Thiruvallur,10,,,49,10
Bangalore,9,,,50,10
Udumalpet,9,,,51,9
paramakudi,9,,,52,9
tirunelveli,8,,,53,9
srivilliputtur,8,,,54,8
Kallakurichi,8,,,55,8
Arni,8,,,56,8
aruppukottai,8,,,57,8
Ramnad,8,,,58,8
nagappattinam,7,,,59,8
TIRUCHENGODE,7,,,60,7
Jayankondam,7,,,61,7
Rasipuram,7,,,62,7
Kalpakkam,6,,,63,7
puducherry,6,,,64,6
panruti,6,,,65,6
sivaganga,6,,,66,6
CHEYYAR,6,,,67,6
karaikal,5,,,68,6
pudukottai,5,,,69,5
Tiruvallur,5,,,70,5
sirkali,5,,,71,5
pollachi,5,,,72,5
Ranipet,5,,,73,5
Vandavasi,4,,,74,5
tiruttani,4,,,75,4
DINDUGUL,4,,,76,4
sirkazhi,4,,,77,4
arani,4,,,78,4
marthandam,4,,,79,4
Harur,4,,,80,4
Vridhachalam,3,,,81,4
bodinayakanur,3,,,82,3
Tirupattur,3,,,83,3
METTUR,3,,,84,3
RAMANATHA PURAM,3,,,85,3
sriperumbudur,3,,,86,3
manamadurai,3,,,87,3
polur,3,,,88,3
Aranthangi,3,,,89,3
Gingee,3,,,90,3
AMBUR,3,,,91,3
thiruvanamalai,3,,,92,3
Kanyakumari,3,,,93,3
cumbum,3,,,94,3
KODAIKANAL,3,,,95,3
gummidipoondi,3,,,96,3
Nagappatinam,3,,,97,3
Virudunagar,3,,,98,3
Batlagundu,2,,,99,3
vadalur,2,,,100,2
Thiruthuraipoondi,2,,,101,2
arcot,2,,,102,2
CHENGALPATTU,2,,,103,2
Kattumannar koil,2,,,104,2
Thiruppathur,2,,,105,2
Kattumannarkoil,2,,,106,2
UDUMALAIPET,2,,,107,2
KK DIST,2,,,108,2
VAITHEESWARANKOVIL,2,,,109,2
mannargudi,2,,,110,2
chengalpet,2,,,111,2
DINDUGAL,2,,,112,2
thirukadaiyur,2,,,113,2
